task,model,mode,micro_f1,macro_f1,weighted_f1,total_time_s,time_per_item_s
perpetrator,GPT-4o-mini,zeroshot,0.8185483870967742,0.6053609293062922,0.8107981313586844,45.92137289047241,0.046291706542814934
perpetrator,GPT-4o-mini,fewshot,0.8286290322580645,0.6797862793806,0.8368738933353209,43.46343684196472,0.043813948429399924
action_type,GPT-4o-mini,zeroshot,0.8567240747526567,0.8248778285193488,0.8666038843240658,34.025951862335205,0.034509078967885604
action_type,GPT-4o-mini,fewshot,0.8922345483359746,0.8759416972094688,0.8966339228476484,42.147929191589355,0.04274637849045573
target_type,GPT-4o-mini,zeroshot,0.5411334552102377,0.5225865327241802,0.5889092329003166,36.81908082962036,0.037493972331588965
target_type,GPT-4o-mini,fewshot,0.5148279952550415,0.5082624293718053,0.5409545991964402,41.533133029937744,0.042294432820710534
perpetrator,GPT-4.1-mini,zeroshot,0.8800403225806451,0.6785343659739795,0.8724295784881922,26.859753847122192,0.027076364765244144
perpetrator,GPT-4.1-mini,fewshot,0.8991935483870968,0.7832482579579029,0.9045895978515923,27.28677201271057,0.027506826625716303
action_type,GPT-4.1-mini,zeroshot,0.8934169278996865,0.8821727744786818,0.8954551855358175,28.88909888267517,0.029299288927662447
action_type,GPT-4.1-mini,fewshot,0.895641743302679,0.8784683070817375,0.8984876499517859,29.62818694114685,0.03004887113706577
target_type,GPT-4.1-mini,zeroshot,0.6554756195043965,0.576351767115251,0.6782214116247263,28.213587999343872,0.028730741343527363
target_type,GPT-4.1-mini,fewshot,0.5226876090750436,0.520960882546374,0.5345197562296976,28.54407787322998,0.02906728907660894
perpetrator,GPT-5.2,zeroshot,0.8891129032258065,0.7149629564325474,0.8841988418280285,41.84236526489258,0.04217980369444816
perpetrator,GPT-5.2,fewshot,0.8830645161290323,0.7591575091575091,0.8819131711878954,39.47870898246765,0.03979708566781013
action_type,GPT-5.2,zeroshot,0.8931008339651251,0.8704462976807833,0.8984392908338645,42.469691038131714,0.04311643760216417
action_type,GPT-5.2,fewshot,0.910086004691165,0.8886230279687858,0.9141342584775931,42.038193702697754,0.042678369241317515
target_type,GPT-5.2,zeroshot,0.6275937386239534,0.5514284906494755,0.6986958452666214,44.50467777252197,0.04527434157937128
target_type,GPT-5.2,fewshot,0.6267902274641954,0.5604427777125199,0.6525871946503802,43.08529305458069,0.04383041002500579
