strategy,label,f1,precision,recall
baseline,civilians,0.8208469055374593,0.8513513513513513,0.7924528301886793
baseline,maoist,0.9400921658986175,0.9714285714285714,0.9107142857142857
baseline,government_officials,0.6923076923076923,0.7058823529411765,0.6792452830188679
baseline,security,0.835820895522388,0.8571428571428571,0.8155339805825242
baseline,private_property,0.688,0.7049180327868853,0.671875
baseline,mining_company,0.0,0.0,0.0
baseline,government_infrastructure,0.7121951219512195,0.6697247706422018,0.7604166666666666
baseline,non_maoist_armed_group,0.0,0.0,0.0
baseline,no_target,0.9133858267716536,0.9508196721311475,0.8787878787878788
focal_tuned,civilians,0.7987220447284346,0.8116883116883117,0.7861635220125787
focal_tuned,maoist,0.9284876905041032,0.9777777777777777,0.8839285714285714
focal_tuned,government_officials,0.8256880733944955,0.8035714285714286,0.8490566037735849
focal_tuned,security,0.82,0.845360824742268,0.7961165048543689
focal_tuned,private_property,0.688,0.7049180327868853,0.671875
focal_tuned,mining_company,0.2222222222222222,0.5,0.14285714285714285
focal_tuned,government_infrastructure,0.7211538461538461,0.6696428571428571,0.78125
focal_tuned,non_maoist_armed_group,0.6666666666666666,1.0,0.5
focal_tuned,no_target,0.8976377952755905,0.9344262295081968,0.8636363636363636
class_weights_tuned,civilians,0.7837837837837838,0.6872037914691943,0.9119496855345912
class_weights_tuned,maoist,0.9373549883990719,0.9758454106280193,0.9017857142857143
class_weights_tuned,government_officials,0.64,0.4948453608247423,0.9056603773584906
class_weights_tuned,security,0.852017937219731,0.7916666666666666,0.9223300970873787
class_weights_tuned,private_property,0.6783625730994152,0.5420560747663551,0.90625
class_weights_tuned,mining_company,0.375,0.24,0.8571428571428571
class_weights_tuned,government_infrastructure,0.7109375,0.56875,0.9479166666666666
class_weights_tuned,non_maoist_armed_group,0.8,0.6666666666666666,1.0
class_weights_tuned,no_target,0.8913857677902621,0.8814814814814815,0.9015151515151515
weighted_sampler_tuned,civilians,0.8421052631578947,0.8292682926829268,0.8553459119496856
weighted_sampler_tuned,maoist,0.9324009324009324,0.975609756097561,0.8928571428571429
weighted_sampler_tuned,government_officials,0.7751937984496124,0.6578947368421053,0.9433962264150944
weighted_sampler_tuned,security,0.8468468468468469,0.7899159663865546,0.912621359223301
weighted_sampler_tuned,private_property,0.7027027027027027,0.6190476190476191,0.8125
weighted_sampler_tuned,mining_company,0.625,0.5555555555555556,0.7142857142857143
weighted_sampler_tuned,government_infrastructure,0.7454545454545455,0.6612903225806451,0.8541666666666666
weighted_sampler_tuned,non_maoist_armed_group,0.7058823529411765,0.5454545454545454,1.0
weighted_sampler_tuned,no_target,0.8957528957528957,0.9133858267716536,0.8787878787878788
threshold_tuned,civilians,0.8242811501597445,0.8376623376623377,0.8113207547169812
threshold_tuned,maoist,0.939150401836969,0.966903073286052,0.9129464285714286
threshold_tuned,government_officials,0.7090909090909091,0.6842105263157895,0.7358490566037735
threshold_tuned,security,0.8316831683168316,0.8484848484848485,0.8155339805825242
threshold_tuned,private_property,0.6875,0.6875,0.6875
threshold_tuned,mining_company,0.0,0.0,0.0
threshold_tuned,government_infrastructure,0.7238095238095238,0.6666666666666666,0.7916666666666666
threshold_tuned,non_maoist_armed_group,0.0,0.0,0.0
threshold_tuned,no_target,0.9027237354085603,0.928,0.8787878787878788
augmentation_bt_tuned,civilians,0.8372093023255814,0.7783783783783784,0.9056603773584906
augmentation_bt_tuned,maoist,0.939150401836969,0.966903073286052,0.9129464285714286
augmentation_bt_tuned,government_officials,0.7575757575757576,0.6329113924050633,0.9433962264150944
augmentation_bt_tuned,security,0.8584070796460177,0.7886178861788617,0.941747572815534
augmentation_bt_tuned,private_property,0.738255033557047,0.6470588235294118,0.859375
augmentation_bt_tuned,mining_company,0.5,0.6,0.42857142857142855
augmentation_bt_tuned,government_infrastructure,0.7298578199052133,0.6695652173913044,0.8020833333333334
augmentation_bt_tuned,non_maoist_armed_group,0.8571428571428571,0.75,1.0
augmentation_bt_tuned,no_target,0.9105058365758755,0.936,0.8863636363636364
augmentation_t5_tuned,civilians,0.8288288288288288,0.7931034482758621,0.8679245283018868
augmentation_t5_tuned,maoist,0.9422632794457275,0.9760765550239234,0.9107142857142857
augmentation_t5_tuned,government_officials,0.7230769230769231,0.6103896103896104,0.8867924528301887
augmentation_t5_tuned,security,0.8387096774193549,0.7982456140350878,0.883495145631068
augmentation_t5_tuned,private_property,0.7483870967741936,0.6373626373626373,0.90625
augmentation_t5_tuned,mining_company,0.2222222222222222,0.5,0.14285714285714285
augmentation_t5_tuned,government_infrastructure,0.7510917030567685,0.6466165413533834,0.8958333333333334
augmentation_t5_tuned,non_maoist_armed_group,0.8,0.6666666666666666,1.0
augmentation_t5_tuned,no_target,0.9042145593869731,0.9147286821705426,0.8939393939393939
