model,level,precision,recall,f1
gliner,state,67.82178217821783,13.81048387096774,22.948073701842542
gliner,district,95.90766002098636,92.13709677419355,93.98457583547557
gliner,village,48.29351535836178,76.0752688172043,59.081419624217126
gliner,other_locations,22.270742358078603,20.039292730844792,21.096173733195446
confliBERT,state,95.93908629441624,95.26209677419355,95.59939301972685
confliBERT,district,94.96919917864476,93.24596774193549,94.0996948118006
confliBERT,village,65.78947368421053,73.9247311827957,69.62025316455696
confliBERT,other_locations,29.88871224165342,37.00787401574803,33.069481090589264
deberta-v3,state,95.9349593495935,95.16129032258065,95.54655870445343
deberta-v3,district,95.88053553038105,93.8508064516129,94.85481406011206
deberta-v3,village,69.03669724770643,80.91397849462365,74.50495049504951
deberta-v3,other_locations,41.38655462184874,38.77952755905512,40.040650406504064
xlm-roberta,state,96.25506072874494,95.86693548387096,96.06060606060606
xlm-roberta,district,95.7688338493292,93.54838709677419,94.64558898521163
xlm-roberta,village,67.5233644859813,77.68817204301075,72.25000000000001
xlm-roberta,other_locations,34.51178451178451,40.354330708661415,37.205081669691474
spanbert,state,95.64777327935222,95.26209677419355,95.45454545454544
spanbert,district,95.29170931422722,93.8508064516129,94.56576942610461
spanbert,village,68.00947867298578,77.15053763440861,72.29219143576826
spanbert,other_locations,36.507936507936506,36.22047244094488,36.36363636363636
muril,state,95.12690355329948,94.45564516129032,94.79008598887204
muril,district,96.28865979381443,94.15322580645162,95.20897043832824
muril,village,67.68149882903981,77.68817204301075,72.3404255319149
muril,other_locations,35.551330798479086,36.811023622047244,36.170212765957444
